AnimalID,Sex,Season,Year,Cluster_ID,Kill_ID,Period,Start Date,Start time,End Date,End Time,StartStalk,StartCons,EndCons,StartLib,EndLib,StillnessPrior,young present,# ind,Large Scavengers?,Pick up young?,Comments
207.0,F,Late Winter,2017.0,10,854,Kill,2017-03-10,07:04:00,2017-03-10,07:05:00,,,,,,,,,,,
207.0,F,Late Winter,2017.0,10,854,Handling,2017-03-10,07:06:00,2017-03-10,13:41:00,,,,,,,,,,,
207.0,F,Late Winter,2017.0,15,823,Forage,2017-03-10,13:42:00,2017-03-13,05:43:00,,,,,,,,,,,
207.0,F,Late Winter,2017.0,15,823,Kill,2017-03-13,05:44:00,2017-03-13,05:44:00,,,,,,,,,,,
207.0,F,Late Winter,2017.0,15,823,Handling,2017-03-13,05:45:00,2017-03-15,10:26:00,,,,,,,,,,,
207.0,F,Late Winter,2017.0,28,827,Kill,2017-03-25,10:14:00,2017-03-25,10:14:00,,,,,,,,,,,
207.0,F,Late Winter,2017.0,28,827,Handling,2017-03-25,10:15:00,2017-03-29,11:26:00,,,,,,,,,,,
207.0,F,Summer,2017.0,1,866,Kill,2017-05-07,09:46:00,2017-05-07,09:47:00,,,,,,,,,,,
207.0,F,Summer,2017.0,1,866,Handling,2017-05-07,09:48:00,2017-05-19,20:28:00,,,,,,,,,,,
207.0,F,Summer,2017.0,6,858,Forage,2017-05-19,20:29:00,2017-05-23,08:45:00,,,,,,,,,,,
207.0,F,Summer,2017.0,6,858,Kill,2017-05-23,08:46:00,2017-05-23,08:48:00,,,,,,,,,,,
207.0,F,Summer,2017.0,6,858,Handling,2017-05-23,08:49:00,2017-05-24,03:00:00,,,,,,,,,,,
207.0,F,Summer,2017.0,8,857,Forage,2017-05-24,03:01:00,2017-05-24,03:57:00,,,,,,,,,,,
207.0,F,Summer,2017.0,8,857,Kill,2017-05-24,03:58:00,2017-05-24,04:00:00,,,,,,,,,,,
207.0,F,Summer,2017.0,8,857,Handling,2017-05-24,04:01:00,2017-05-28,03:57:00,,,,,,,,,,,
207.0,F,Summer,2017.0,14,890,Forage,2017-05-28,03:58:00,2017-06-01,01:53:00,,,,,,,,,,,
207.0,F,Summer,2017.0,14,890,Kill,2017-06-01,01:54:00,2017-06-01,01:55:00,,,,,,,,,,,
207.0,F,Summer,2017.0,14,890,Handling,2017-06-01,01:56:00,2017-06-06,12:34:00,,,,,,,,,,,
207.0,F,Summer,2017.0,15,875,Forage,2017-06-06,12:35:00,2017-06-07,13:29:00,,,,,,,,,,,
207.0,F,Summer,2017.0,15,875,Kill,2017-06-07,13:29:00,2017-06-07,13:29:00,,,,,,,,,,,
207.0,F,Summer,2017.0,15,875,Handling,2017-06-07,13:30:00,2017-06-11,01:23:00,,,,,,,,,,,
,,Summer,,15,876,Forage,2017-06-11,01:24:00,2017-06-11,09:49:00,,,,,,,,,,,
207.0,F,Summer,2017.0,15,876,Kill,2017-06-11,09:50:00,2017-06-11,09:50:00,,,,,,,,,,,
207.0,F,Summer,2017.0,15,876,Handling,2017-06-11,09:51:00,2017-06-11,12:28:00,,,,,,,,,,,
207.0,F,Summer,2017.0,18,877,Forage,2017-06-11,12:29:00,2017-06-11,14:12:00,,,,,,,,,,,
207.0,F,Summer,2017.0,18,877,Kill,2017-06-11,14:13:00,2017-06-11,14:13:00,,,,,,,,,,,
207.0,F,Summer,2017.0,18,877,Handling,2017-06-11,14:14:00,2017-06-12,01:56:00,,,,,,,,,,,
207.0,F,Summer,2017.0,22,891,Forage,2017-06-12,01:57:00,2017-06-13,02:39:00,,,,,,,,,,,
,,Summer,,18,877,Handling,2017-06-13,02:40:00,2017-06-14,14:51:00,,,,,,,,,,,
207.0,F,Summer,2017.0,22,891,Forage,2017-06-14,14:52:00,2017-06-18,09:37:00,,,,,,,,,,,
207.0,F,Summer,2017.0,22,891,Kill,2017-06-18,09:38:00,2017-06-18,09:39:00,,,,,,,,,,,
207.0,F,Summer,2017.0,22,891,Handling,2017-06-18,09:40:00,2017-06-19,04:33:00,,,,,,,,,Bear,,
207.0,F,Summer,2017.0,20,879,Forage,2017-06-19,04:34:00,2017-06-19,15:08:00,,,,,,,,,,,
207.0,F,Summer,2017.0,20,879,Kill,2017-06-19,15:09:00,2017-06-19,15:09:00,,,,,,,,,,,
207.0,F,Summer,2017.0,20,879,Handling,2017-06-19,15:10:00,2017-06-21,00:44:00,,,,,,,,,,,
207.0,F,Summer,2017.0,23,881,Forage,2017-06-21,00:45:00,2017-06-21,01:52:00,,,,,,,,,,,
207.0,F,Summer,2017.0,23,881,Kill,2017-06-21,01:53:00,2017-06-21,01:53:00,,,,,,,,,,,
207.0,F,Summer,2017.0,23,881,Handling,2017-06-21,01:54:00,2017-06-21,23:35:00,,,,,,,,,,,
207.0,F,Summer,2017.0,23,880,Forage,2017-06-21,23:36:00,2017-06-21,23:52:00,,,,,,,,,,,
207.0,F,Summer,2017.0,23,880,Handling,2017-06-21,23:53:00,2017-06-21,03:37:00,,,,,,,,,,,
207.0,F,Summer,2017.0,23,881,Handling,2017-06-21,03:38:00,2017-06-24,11:41:00,,,,,,,,,,,
207.0,F,Summer,2017.0,30,834,Forage,2017-06-24,11:42:00,2017-06-27,22:46:00,,,,,,,,,,,
207.0,F,Summer,2017.0,30,834,Kill,2017-06-27,22:47:00,2017-06-27,22:49:00,,,,,,,,,,,
207.0,F,Summer,2017.0,30,834,Handling,2017-06-27,22:50:00,2017-06-29,06:29:00,,,,,,,,,,,
207.0,F,Summer,2017.0,33,882,Forage,2017-06-29,06:30:00,2017-06-30,02:23:00,,,,,,,,,,,
207.0,F,Summer,2017.0,23,881,Handling,2017-06-30,02:24:00,2017-06-30,11:10:00,,,,,,,,,,,
207.0,F,Summer,2017.0,33,882,Forage,2017-06-30,11:11:00,2017-07-02,12:07:00,,,,,,,,,,,
207.0,F,Summer,2017.0,33,882,Kill,2017-07-02,12:08:00,2017-07-02,12:08:00,,,,,,,,,,,
207.0,F,Summer,2017.0,33,882,Handling,2017-07-02,12:09:00,2017-07-03,12:49:00,,,,,,,,,,,
207.0,F,Summer,2017.0,38,833,Forage,2017-07-03,12:50:00,2017-07-06,14:25:00,,,,,,,,,,,
207.0,F,Summer,2017.0,38,833,Kill,2017-07-06,14:26:00,2017-07-06,14:26:00,,,,,,,,,,,
207.0,F,Summer,2017.0,38,833,Handling,2017-07-06,14:27:00,2017-07-09,04:33:00,,,,,,,,,,,
207.0,F,Summer,2017.0,41,888,Forage,2017-07-09,04:34:00,2017-07-12,19:10:00,,,,,,,,,,,
207.0,F,Summer,2017.0,41,888,Kill,2017-07-12,19:11:00,2017-07-12,19:12:00,,,,,,,,,,,
207.0,F,Summer,2017.0,41,888,Handling,2017-07-12,19:13:00,2017-07-13,07:09:00,,,,,,,,,,,
207.0,F,Summer,2017.0,41,889,Forage,2017-07-13,07:10:00,2017-07-13,07:19:00,,,,,,,,,,,
207.0,F,Summer,2017.0,41,889,Kill,2017-07-13,07:20:00,2017-07-13,07:21:00,,,,,,,,,,,
207.0,F,Summer,2017.0,41,889,Handling,2017-07-13,07:22:00,2017-07-13,12:30:00,,,,,,,,,,,
207.0,F,Summer,2017.0,41,888,Handling,2017-07-13,12:31:00,2017-07-15,07:50:00,,,,,,,,,,,
207.0,F,Summer,2017.0,41,889,Handling,2017-07-15,07:51:00,2017-07-15,07:35:00,,,,,,,,,,,
207.0,F,Summer,2017.0,41,888,Handling,2017-07-15,07:36:00,2017-07-17,02:42:00,,,,,,,,,,,
207.0,F,Summer,2017.0,41,889,Handling,2017-07-17,02:43:00,2017-07-17,09:37:00,,,,,,,,,,,
