plotted,AnimalID,Sex,Season,Year,Unique_Cluster_ID,Kill_ID,Period,Start Date,Start time,End Date,End Time,StartStalk,StartCons,EndCons,StartLib,EndLib,StillnessPrior,young present,# ind,Large Scavengers?,Pick up young?,Comments
x,209,F,Late Winter,2017,259.0,812.0,Kill,2017-03-08,16:44:00,2017-03-08,16:44:00,,,,,,,,,,,
,209,F,Late Winter,2017,259.0,812.0,Handling,2017-03-08,16:45:00,2017-03-12,02:44:00,,,,,,,,,,,
,209,F,Late Winter,2017,313.0,825.0,Forage,2017-03-12,02:45:00,2017-03-16,04:47:00,,,,,,,,,,,
,209,F,Late Winter,2017,313.0,825.0,Kill,2017-03-16,04:48:00,2017-03-16,04:48:00,,,,,,,,,,,
,209,F,Late Winter,2017,313.0,825.0,Handling,2017-03-16,04:49:00,2017-03-17,08:21:00,,,,,,,,,,,
,209,F,Late Winter,2017,316.0,824.0,Forage,2017-03-17,08:22:00,2017-03-18,05:05:00,,,,,,,,,,,
,209,F,Late Winter,2017,316.0,824.0,Kill,2017-03-18,05:06:00,2017-03-18,05:07:00,,,,,,,,,,,
,209,F,Late Winter,2017,316.0,824.0,Handling,2017-03-18,05:08:00,2017-03-23,15:18:00,,,,,,,,,,,
,209,F,Late Winter,2017,323.0,852.0,Forage,2017-03-23,15:19:00,2017-03-26,06:23:00,,,,,,,,,,,
,209,F,Late Winter,2017,323.0,852.0,Kill,2017-03-26,06:24:00,2017-03-26,06:25:00,,,,,,,,,,,
,209,F,Late Winter,2017,323.0,852.0,Handling,2017-03-26,06:26:00,2017-03-29,09:58:00,,,,,,,,,,,
,209,F,Late Winter,2017,331.0,853.0,Forage,2017-03-29,09:59:00,2017-04-03,06:41:00,,,,,,,,,,,
,209,F,Late Winter,2017,331.0,853.0,Kill,2017-04-03,06:42:00,2017-04-03,06:43:00,,,,,,,,,,,
,209,F,Late Winter,2017,331.0,853.0,Handling,2017-04-03,06:44:00,2017-04-06,06:55:00,,,,,,,,,,,
,209,F,Summer,2017,387.0,856.0,Kill,2017-05-17,01:03:00,2017-05-17,01:04:00,,,,,,,,,,,
,209,F,Summer,2017,387.0,856.0,Handling,2017-05-17,01:05:00,2017-05-17,02:15:00,,,,,,,,,,,
,209,F,Summer,2017,,,Forage,2017-05-17,02:16:00,2017-05-17,03:49:00,,,,,,,,,,,
,209,F,Summer,2017,387.0,856.0,Handling,2017-05-17,03:50:00,2017-05-18,18:30:00,,,,,,,,,,,
,209,F,Summer,2017,388.0,864.0,Forage,2017-05-18,18:31:00,2017-05-19,07:06:00,,,,,,,,,,,
,209,F,Summer,2017,388.0,864.0,Handling,2017-05-19,07:07:00,2017-05-19,16:19:00,,,,,,,,,,,
,209,F,Summer,2017,393.0,828.0,Forage,2017-05-19,16:20:00,2017-05-23,04:27:00,,,,,,,,,,,
,209,F,Summer,2017,393.0,828.0,Kill,2017-05-23,04:28:00,2017-05-23,04:28:00,,,,,,,,,,,
,209,F,Summer,2017,393.0,828.0,Handling,2017-05-23,04:29:00,2017-05-23,13:39:00,,,,,,,,,,,
,209,F,Summer,2017,395.0,871.0,Forage,2017-05-23,13:40:00,2017-05-25,16:58:00,,,,,,,,,,,
,209,F,Summer,2017,395.0,871.0,Kill,2017-05-25,16:59:00,2017-05-25,16:59:00,,,,,,,,,,,
,209,F,Summer,2017,395.0,871.0,Handling,2017-05-25,17:00:00,2017-05-25,18:15:00,,,,,,,,,,,
,209,F,Summer,2017,399.0,859.0,Forage,2017-05-26,11:17:00,2017-05-28,09:14:00,,,,,,,,,,,
,209,F,Summer,2017,399.0,859.0,Kill,2017-05-28,09:15:00,2017-05-28,09:15:00,,,,,,,,,,,
,209,F,Summer,2017,399.0,859.0,Handling,2017-05-28,09:16:00,2017-05-28,09:56:00,,,,,,,,,,,
,209,F,Summer,2017,399.0,859.0,Forage,2017-05-28,09:57:00,2017-05-28,22:32:00,,,,,,,,,,,
,209,F,Summer,2017,399.0,859.0,Handling,2017-05-28,22:33:00,2017-05-29,02:34:00,,,,,,,,,,,
,209,F,Summer,2017,401.0,869.0,Forage,2017-05-29,02:35:00,2017-05-29,13:58:00,,,,,,,,,,,
,209,F,Summer,2017,401.0,869.0,Kill,2017-05-29,13:59:00,2017-05-29,13:59:00,,,,,,,,,,,
,209,F,Summer,2017,401.0,869.0,Handling,2017-05-29,14:00:00,2017-05-30,06:03:00,,,,,,,,,,,
,209,F,Summer,2017,402.0,860.0,Forage,2017-05-30,06:04:00,2017-05-31,09:38:00,,,,,,,,,,,
,209,F,Summer,2017,402.0,860.0,Kill,2017-05-31,09:39:00,2017-05-31,09:39:00,,,,,,,,,,,
,209,F,Summer,2017,402.0,860.0,Handling,2017-05-31,09:40:00,2017-05-31,12:19:00,,,,,,,,,,,
,209,F,Summer,2017,404.0,862.0,Forage,2017-05-31,12:20:00,2017-05-31,22:44:00,,,,,,,,,,,
,209,F,Summer,2017,404.0,862.0,Kill,2017-05-31,22:45:00,2017-05-31,22:45:00,,,,,,,,,,,
,209,F,Summer,2017,404.0,862.0,Handling,2017-05-31,22:46:00,2017-06-01,13:27:00,,,,,,,,,,,
,209,F,Summer,2017,406.0,861.0,Forage,2017-06-01,13:28:00,2017-06-02,21:57:00,,,,,,,,,,,
,209,F,Summer,2017,406.0,861.0,Kill,2017-06-02,21:58:00,2017-06-02,21:58:00,,,,,,,,,,,
,209,F,Summer,2017,406.0,861.0,Handling,2017-06-02,21:59:00,2017-06-03,06:12:00,,,,,,,,,,,
,209,F,Summer,2017,404.0,863.0,Forage,2017-06-03,06:13:00,2017-06-03,22:48:00,,,,,,,,,,,
,209,F,Summer,2017,404.0,863.0,Kill,2017-06-03,22:49:00,2017-06-03,22:49:00,,,,,,,,,,,
