AnimalID,Sex,Season,Year,Cluster_ID,Kill_ID,Period,Start Date,Start time,End Date,End Time,StartStalk,StartCons,EndCons,StartLib,EndLib,StillnessPrior,young present,# ind,Large Scavengers?,Pick up young?,Comments
201,M,Late Winter,2016,312,,Kill,2016-03-21,22:16:00,2016-03-21,22:21:00,,22:16:00,22:21:00,22:16:00,22:21:00,,,,,,
201,M,Late Winter,2016,35,219.0,Handling,2016-02-25,01:56:00,2016-02-28,20:37:00,,01:56:00,20:37:00,01:56:00,20:37:00,,,,,,
201,M,Late Winter,2016,43,221.0,Forage,2016-02-28,20:38:00,2016-03-02,02:11:00,,20:38:00,02:11:00,20:38:00,02:11:00,,,,,,
201,M,Late Winter,2016,43,221.0,Handling,2016-03-02,02:12:00,2016-03-04,13:31:00,,02:12:00,13:31:00,02:12:00,13:31:00,,,,,,
201,M,Late Winter,2016,44,311.0,Forage,2016-03-04,13:32:00,2016-03-07,02:45:00,,13:32:00,02:45:00,13:32:00,02:45:00,,,,,,
201,M,Late Winter,2016,44,311.0,Handling,2016-03-07,02:46:00,2016-03-09,13:09:00,,02:46:00,13:09:00,02:46:00,13:09:00,,,,,,
201,M,Late Winter,2016,45,222.0,Forage,2016-03-09,13:10:00,2016-03-11,02:31:00,,13:10:00,02:31:00,13:10:00,02:31:00,,,,,,
201,M,Late Winter,2016,45,222.0,Kill,2016-03-11,02:32:00,2016-03-11,02:32:00,,02:32:00,02:32:00,02:32:00,02:32:00,,,,,,
201,M,Late Winter,2016,45,222.0,Handling,2016-03-11,02:33:00,2016-03-14,10:01:00,,02:33:00,10:01:00,02:33:00,10:01:00,,,,,,
201,M,Late Winter,2016,53,312.0,Forage,2016-03-14,10:02:00,2016-03-21,22:23:00,,10:02:00,22:23:00,10:02:00,22:23:00,,,,,,
201,M,Late Winter,2016,53,312.0,Kill,2016-03-21,22:24:00,2016-03-21,22:24:00,,22:24:42,22:24:55,22:24:30,22:25:15,,,,,,
201,M,Late Winter,2016,53,312.0,Handling,2016-03-21,22:25:00,2016-03-25,09:32:00,,22:25:00,09:32:00,22:25:00,09:32:00,,,,,,
201,M,Late Winter,2016,91,116.0,Forage,2016-03-25,09:33:00,2016-03-27,13:27:00,,09:33:00,13:27:00,09:33:00,13:27:00,,,,,,
201,M,Late Winter,2016,91,116.0,Handling,2016-03-27,13:28:00,2016-03-27,15:54:00,,13:28:00,15:54:00,13:28:00,15:54:00,,,,,,
201,M,Late Winter,2016,57,314.0,Forage,2016-03-27,15:55:00,2016-03-29,04:56:00,,15:55:00,04:56:00,15:55:00,04:56:00,,,,,,
201,M,Late Winter,2016,57,314.0,Handling,2016-03-29,04:57:00,2016-03-31,05:56:00,,04:57:00,05:56:00,04:57:00,05:56:00,,,,,,
