"","cougar_id","clus_rid","clus_start","clus_end","centroid_easting","centroid_northing","study_year","clus_fid","searched","kill_found","carcass_id1","carcass_id2","carcass_id3","carcass_id4","carcass_id5","clus_status","g_med_Long","g_med_Lat","clus_dur_hr","n_clus_locs","visits","fix_succ_clus_dur","adj_clus_locs","fid","max_foray","clus_radius","avg_clus_dist","n_24_per","bin_24hr","season","night_pts","night_prop","collar_ID","start_date","end_date","days_in_range","active_deployment","accelerometer"
"1","F202",21,2018-03-10 21:00:00,2018-03-13 18:00:00,541660,4979487,"LW 2018",21,"yes","yes","964",NA,NA,NA,NA,"Closed",-110.471984304939,44.9678085397693,68,24,1,1,24,24,219,219,61,3,1,NA,12,0.5,27905,2018-01-05,2019-07-22,563,"N","Y"
"2","F202",27,2018-03-17 03:00:00,2018-03-21 00:00:00,544339,4977593,"LW 2018",30,"yes","yes","972",NA,NA,NA,NA,"Closed",-110.438209967401,44.9503839727129,93,8,2,1,8,-16,4839,108,82,2,1,NA,4,0.5,27905,2018-01-05,2019-07-22,563,"N","Y"
"3","F202",15,2019-03-21 21:00:00,2019-03-25 06:00:00,527049,4986253,"LW 2019",14,"yes","yes","111",NA,NA,NA,NA,"Closed",-110.656452950087,45.0292114599325,81,14,2,1,14,0,335,107,26,3,1,NA,10,0.71,27905,2018-01-05,2019-07-22,563,"N","Y"
"4","F202",2,2019-02-15 15:00:00,2019-02-23 21:00:00,526190,4986406,"LW 2019",2,"yes","yes","107","105",NA,NA,NA,"Closed",-110.667310529866,45.0307014855527,198,43,3,0.84,51.2,30,1788,100,31,7,1,NA,28,0.65,27905,2018-01-05,2019-07-22,563,"N","Y"
"5","F202",27,2018-12-13 18:00:00,2018-12-15 03:00:00,526236,4988131,"EW 2018",23,"yes","yes","84",NA,NA,NA,NA,"Closed",-110.666852837948,45.0461492879979,33,7,3,1,7,2,1011,3,2,2,1,NA,7,1,27905,2018-01-05,2019-07-22,563,"N","Y"
"6","F207",8,2017-03-13 00:00:00,2017-03-14 21:00:00,527519,4977395,"LW 2017",15,"yes","yes","823",NA,NA,NA,NA,"Closed",-110.651167644771,44.9494362200455,45,8,3,1,8,0,440,17,7,2,1,NA,8,1,22263,2017-03-01,2019-01-29,699,"N","Y"
"7","F207",16,2017-12-02 03:00:00,2017-12-09 06:00:00,529471,4970127,"EW 2017",15,"yes","yes","232",NA,NA,NA,NA,"Closed",-110.626853107001,44.8839452912815,171,58,1,1,58,58,205,205,13,8,1,NA,37,0.64,22263,2017-03-01,2019-01-29,699,"N","Y"
"8","F207",22,2017-03-25 03:00:00,2017-03-29 03:00:00,540535,4978841,"LW 2017",28,"yes","yes","827",NA,NA,NA,NA,"Closed",-110.485870990041,44.9619244201182,96,32,1,0.97,33,32,200,200,39,5,1,NA,16,0.5,22263,2017-03-01,2019-01-29,699,"N","Y"
"9","F207",1,2018-02-02 06:00:00,2018-02-16 15:00:00,533061,4970932,"LW 2018",1,"yes","yes","946",NA,NA,NA,NA,"Closed",-110.581293140045,44.8910397268795,345,111,1,0.96,115.6,111,16,16,5,15,1,NA,67,0.6,22263,2017-03-01,2019-01-29,699,"N","Y"
"10","F207",15,2018-03-09 21:00:00,2018-03-16 09:00:00,545262,4972912,"LW 2018",18,"yes","yes","965",NA,NA,NA,NA,"Closed",-110.426598984858,44.9081486314591,155,19,2,0.98,19.4,-14,1738,131,24,4,1,NA,10,0.53,22263,2017-03-01,2019-01-29,699,"N","Y"
"11","F209",19,2018-03-12 03:00:00,2018-03-12 09:00:00,525228,4983567,"LW 2018",19,"yes","yes","968",NA,NA,NA,NA,"Closed",-110.679855964306,45.0051198372185,6,3,1,1,3,3,7,7,5,1,0,NA,2,0.67,22262,2017-03-07,2019-03-28,751,"N","Y"
"12","F209",27,2017-12-14 21:00:00,2017-12-18 06:00:00,529140,4984126,"EW 2017",27,"yes","yes","234",NA,NA,NA,NA,"Closed",-110.630261091183,45.010024653639,81,26,1,0.93,28,26,71,71,14,4,1,NA,18,0.69,22262,2017-03-07,2019-03-28,751,"N","Y"
"13","F209",8,2018-02-26 18:00:00,2018-03-01 21:00:00,528471,4986204,"LW 2018",8,"yes","yes","953",NA,NA,NA,NA,"Closed",-110.638582295051,45.0287253426416,75,26,1,1,26,26,20,20,5,4,1,NA,13,0.5,22262,2017-03-07,2019-03-28,751,"N","Y"
"14","F209",38,2018-03-28 15:00:00,2018-03-28 18:00:00,529171,4985066,"LW 2018",37,"yes","yes","982",NA,NA,NA,NA,"Closed",-110.62976268723,45.0184443201568,3,2,1,1,2,2,62,62,62,1,0,NA,0,0,22262,2017-03-07,2019-03-28,751,"N","Y"
"15","F209",2,2019-03-01 12:00:00,2019-03-02 18:00:00,526197,4986436,"LW 2019",2,"yes","yes","106",NA,NA,NA,NA,"Closed",-110.667715960588,45.0307124586573,30,5,2,0.55,9.1,4,791,94,41,2,1,NA,3,0.6,22262,2017-03-07,2019-03-28,751,"N","Y"
